query_number,correct_qm_rank,correct_cn_rank
Query 1,1,1
Query 2,1,1
Query 3,1,1
Query 4,1,1
Query 5,1,1
Query 6,1,1
Query 7,2,1
Query 8,1,1
Query 9,1,1
Query 10,1,1
Query 11,1,1
Query 12,1,1
Query 13,1,1
Query 14,3,1
Query 15,3,1
Query 16,1,1
Query 17,1,1
Query 18,1,1
Query 19,1,1
Query 20,1,1
Query 21,1,1
Query 22,1,1
Query 23,1,1
Query 24,2,2
Query 25,1,1
Query 26,1,1
Query 27,1,1
Query 28,1,1
